Date,AAPL,ADBE,AMZN,BAC,DIS,FB,GOOGL,HD,JNJ,JPM,MA,MSFT,NVDA,PG,PYPL,SPY,TSLA,UNH,V,VZ,WMT
2019-12-12,67.28392791748047,305.9599914550781,1760.3299560546875,33.77421951293945,146.8800048828125,196.75,1348.489990234375,207.15264892578125,137.59922790527344,133.1834716796875,290.6430358886719,151.6336669921875,223.70089721679688,121.56748962402344,105.66999816894531,309.7931213378906,71.93599700927734,279.01806640625,181.52267456054688,58.606651306152344,117.79362487792969
2019-12-13,68.19853973388672,317.94000244140625,1760.93994140625,33.54048538208008,146.3800048828125,194.11000061035156,1346.8699951171875,209.1456298828125,137.63818359375,132.015869140625,294.50225830078125,152.91012573242188,223.62100219726562,122.44580078125,107.6500015258789,309.9787292480469,71.6780014038086,280.8577880859375,184.0073699951172,58.261741638183594,118.31493377685547
2019-12-16,69.36595153808594,323.79998779296875,1769.2099609375,33.793697357177734,148.4600067138672,197.9199981689453,1360.699951171875,210.56222534179688,138.03732299804688,132.52728271484375,295.3675842285156,153.89964294433594,224.77908325195312,122.53363800048828,109.56999969482422,312.1082763671875,76.30000305175781,287.3017578125,185.10064697265625,58.66414260864258,118.5608139038086
2019-12-17,69.50227355957031,322.8500061035156,1790.6600341796875,34.12481689453125,147.72999572753906,198.38999938964844,1354.8900146484375,212.7017364501953,139.76046752929688,133.3378448486328,294.4127197265625,153.06845092773438,227.9138946533203,122.28965759277344,108.45999908447266,312.17669677734375,75.7979965209961,285.7669982910156,184.3850555419922,58.91324996948242,119.28866577148438
2019-12-18,69.33621215820312,324.3800048828125,1784.030029296875,34.192989349365234,146.25999450683594,202.5,1351.9100341796875,212.97528076171875,139.40028381347656,133.2027587890625,293.15948486328125,152.75181579589844,229.13189697265625,121.02099609375,107.83000183105469,312.19622802734375,78.62999725341797,288.1576843261719,183.7688446044922,58.30964660644531,117.8919906616211
2019-12-19,69.40560913085938,327.6300048828125,1792.280029296875,34.037166595458984,146.14999389648438,206.05999755859375,1356.43994140625,215.14410400390625,141.5031280517578,132.53695678710938,295.93450927734375,154.0777587890625,235.07211303710938,121.9090576171875,108.87999725341797,313.4759216308594,80.80799865722656,289.8498229980469,185.3988037109375,58.25216293334961,118.1083755493164
2019-12-20,69.26185607910156,327.6099853515625,1786.5,34.04690170288086,146.8800048828125,206.3000030517578,1351.219970703125,216.09176635742188,142.19430541992188,132.43080139160156,296.96893310546875,155.75994873046875,238.9756622314453,122.33845520019531,108.75,314.8502502441406,81.11799621582031,287.8526916503906,186.84986877441406,59.46894073486328,118.31493377685547
2019-12-23,70.39208984375,328.95001220703125,1793.0,34.25141525268555,144.67999267578125,206.17999267578125,1350.6300048828125,214.1573944091797,142.5642547607422,132.39219665527344,295.6759033203125,155.75994873046875,238.4265899658203,121.8895492553711,108.61000061035156,315.3312683105469,83.84400177001953,290.3122253417969,185.9355010986328,58.82701873779297,117.07560729980469
2019-12-24,70.4590072631836,329.6400146484375,1789.2099609375,34.30011749267578,145.2899932861328,205.1199951171875,1344.4300537109375,215.583740234375,142.0677490234375,132.75889587402344,295.8847961425781,155.73025512695312,238.22691345214844,122.20182037353516,108.69000244140625,315.3410949707031,85.05000305175781,289.7711181640625,186.42250061035156,58.71204376220703,117.54773712158203
2019-12-26,71.85694122314453,331.20001220703125,1868.77001953125,34.59227752685547,145.6999969482422,207.7899932861328,1362.469970703125,215.7303009033203,141.9704132080078,134.16770935058594,297.5956115722656,157.00672912597656,238.7959747314453,122.20182037353516,109.75,317.01971435546875,86.18800354003906,290.8631286621094,188.00279235839844,58.72162628173828,117.55756378173828
2019-12-27,71.82967376708984,330.7900085449219,1869.800048828125,34.42671585083008,145.75,208.10000610351562,1354.6400146484375,214.89987182617188,141.89251708984375,134.26422119140625,299.1273193359375,157.29368591308594,236.47976684570312,123.05085754394531,109.4000015258789,316.941162109375,86.07599639892578,291.177978515625,188.2313690185547,58.951568603515625,117.62641906738281
2019-12-30,72.25599670410156,328.3399963378906,1846.8900146484375,34.2319450378418,143.77000427246094,204.41000366210938,1339.7099609375,212.30116271972656,141.45443725585938,133.77207946777344,296.12347412109375,155.93804931640625,231.93727111816406,121.46990203857422,107.97000122070312,315.1938171386719,82.94000244140625,289.09228515625,186.680908203125,58.64497756958008,117.43954467773438
2019-12-31,72.783935546875,329.80999755859375,1847.8399658203125,34.30011749267578,144.6300048828125,205.25,1339.3900146484375,213.34652709960938,142.0093536376953,134.5150909423828,296.98883056640625,156.04689025878906,234.91238403320312,121.8895492553711,108.16999816894531,315.9595031738281,83.66600036621094,289.2201843261719,186.75048828125,58.82701873779297,116.88873291015625
2020-01-02,74.4446029663086,334.42999267578125,1898.010009765625,34.70914077758789,148.1999969482422,209.77999877929688,1368.6800537109375,214.59703063964844,142.10670471191406,136.14588928222656,301.7630920410156,158.936279296875,239.5147705078125,120.43546295166016,110.75,318.914306640625,86.052001953125,287.76416015625,189.95077514648438,58.49168014526367,116.98709106445312
2020-01-03,73.72084045410156,331.80999755859375,1874.969970703125,33.98847198486328,146.5,208.6699981689453,1361.52001953125,213.8838348388672,140.46142578125,134.3492431640625,298.8189697265625,156.95726013183594,235.68112182617188,119.6254653930664,108.76000213623047,316.49945068359375,88.60199737548828,284.8520812988281,188.44007873535156,57.86892318725586,115.95433044433594
2020-01-06,74.30826568603516,333.7099914550781,1902.8800048828125,33.93977355957031,145.64999389648438,212.60000610351562,1397.81005859375,214.89010620117188,140.2862091064453,134.242431640625,299.6146545410156,157.3629608154297,236.6694793701172,119.79136657714844,110.16999816894531,317.7069091796875,90.30799865722656,286.8294982910156,188.0325927734375,57.7443733215332,115.71826934814453
